,Unnamed: 0,nome,punteggio,numero_recensioni,tipo_cucina,prezzo
0,0,Ristorante Ischia,4,3,"['Italiana', ' Pesce']",2.5
1,1, Mabuhay Restaurant,5,8,['Filippina'],1
2,2, Parea Bistrot,5,1,['?'],?
3,3, BLUE M Milano - Bottega Marchigiana,5,1,['Italiana'],1
4,4, Il Panino,5,2,"['Italiana', ' Cibo di strada']",1
5,5, Cantiere Hambirreria,5,8,"['Italiana', ' Americana']",?
6,6,Carico,4,2,['Internazionale'],2.5
7,7, Shabby Grill Restaurant,5,4,"['Italiana', ' Steakhouse']",2.5
8,8, Osteria Da Fortunata - Moscova Milano,5,1,"['Romana', ' Laziale']",?
9,9, Pizzium - Via Anfossi,4,1.6,"['Italiana', ' Pizza']",2.5
10,10, PitBeef Milano,5,1,"['Barbecue', ' Steakhouse']",2.5
11,11, Cesarino,5,1,"['Italiana', ' Fast food']",1
12,12, Marea Seafood & Beverage,5,3,"['Italiana', ' Pesce']",?
13,13, Kebabbar Star Zagros,5,4,"['Mediorientale', ' Turca']",1
14,14, Yokohama Flavour Journey Cuisine,4,2.5,"['Pesce', ' Sushi']",2.5
15,15, Nàpiz',4,1.2,"['Pizza', ' Mediterranea']",2.5
16,16, Sapori Solari - Cocktail Bistrot,4,5,"['Italiana', ' Pesce']",2.5
17,17, Incontro Restaurant&drink,5,1,"['Italiana', ' Pesce']",?
18,18, Tram,5,3,"['Italiana', ' Cibo di strada']",1
19,19, Bottega Sicula Pescheria,4,1.5,"['Mediterranea', ' Italiana']",2.5
20,20, Pizzium - Via Vigevano,4,1.4,"['Italiana', ' Pizza']",2.5
21,21, Levino Milano,4,1,"['Italiana', ' Pesce']",4
22,22, l’Anlot e Oltre,4,1,"['Italiana', ' Mediterranea']",2.5
23,23, Piadineria Artigianale Pascoli,4,9,"['Italiana', ' Fast food']",1
24,24, Focus Bracerie Italiane,4,2,"['Italiana', ' Barbecue']",2.5
25,25, Ristorante Pizzeria O Surdato 'Nnamurato,4,7,"['Italiana', ' Pizza']",1
26,26, Bosco Verticale Restaurant Milano,4,4,"['Italiana', ' Pesce']",2.5
27,27, L'Immagine Ristorante Bistrot,4,2.8,"['Italiana', ' Mediterranea']",2.5
28,28, La Tartina,4,8,"['Italiana', ' Caffè']",2.5
29,29, Ristorante Xiongdi,4,3.5,"['Cinese', ' Giapponese']",2.5
30,30, Al Bacio Navigli,4,1,"['Italiana', ' Contemporanea']",2.5
31,31, Nero 9,4,7,"['Italiana', ' Steakhouse']",4
33,33, Kandoo Nippon Restaurant,4,5,"['Giapponese', ' Pesce']",2.5
34,34, Casa Del Pane,4,1,['Cibo di strada'],1
35,35, Crotto Quartino - Milano -,4,9,['Italiana (nord)'],2.5
36,36, DOT - Chianti Street Food,4,1,"['Italiana', ' Mediterranea']",1
37,37, Wave Cocktail Bar,5,3,"['Europea', ' Pub']",2.5
39,39, Pizza Shambo,4,1,"['Pizza', ' Italiana']",2.5
40,40, Viaggi Nel Gusto,5,4,"['Italiana', ' Mediterranea']",2.5
41,41, Pizzium - Viale Tunisia,4,8,"['Pizza', ' Italiana']",2.5
42,42, Tamo Mozzarella Bar,4,2,"['Italiana', ' Mediterranea']",2.5
43,43, Sapori Stellari,4,4,"['Italiana', ' Wine Bar']",2.5
44,44, Linfa Milano - Eat Different,4,5,"['Italiana', ' Salutistica']",2.5
45,45, Piz,4,5.2,"['Italiana', ' Pizza']",1
46,46, Sushi&Sound,4,3,"['Giapponese', ' Pesce']",2.5
47,47, Piadineria Doppio Zero,4,3,['Italiana'],1
48,48, Boccondivino,4,9,"['Italiana', ' Mediterranea']",2.5
49,49, G Sushi Oriental Pleasure,4,2,"['Giapponese', ' Pesce']",2.5
50,50, my Primè,4,5,"['Italiana', ' Pesce']",2.5
51,51, Sapori Solari - Salumeria Bistrot,4,1.7,"['Italiana', ' Gastronomia']",2.5
52,52, Rizzo Come A Casa,4,1.0,"['Italiana', ' Pesce']",2.5
53,53, Sine by Di Pinto,4,3,"['Italiana', ' Pesce']",2.5
54,54, Bottega Valtellina 18,4,5,"['Italiana', ' Pizza']",2.5
55,55, LUX Gourmet Social Club,4,3,"['Italiana', ' Pizza']",2.5
56,56, Ristorante Lucca,4,8,"['Toscana', ' Italiana (centro)']",2.5
57,57, Maccheroni Cucina Italiana,4,7,"['Italiana', ' Mediterranea']",?
58,58, Da Vic - Ristorante Guerrini,4,2.0,"['Italiana', ' Pesce']",4
59,59, Ristorante Enrico Bartolini,4,3,"['Italiana', ' Pesce']",4
60,60, Cibario,4,2,"['Italiana', ' Mediterranea']",1
61,61, Maison Touareg,4,2,"['Marocchina', ' Pesce']",2.5
62,62, Drinc. Cocktail & Conversation,4,1,['?'],2.5
63,63, La Muccaccia,4,1,"['Italiana', ' Mediterranea']",2.5
65,65, Iyo,4,3.3,"['Giapponese', ' Pesce']",4
66,66, Pizzium - Via Procaccini,4,3.2,"['Pizza', ' Mediterranea']",2.5
67,67, Dagli Amici di Patty,4,3,"['Italiana', ' Pesce']",2.5
68,68, Tripburger,4,3,"['Contemporanea', ' Cibo di strada']",2.5
69,69, AleXAmber Fish Cuisine,4,2,"['Pesce', ' Italiana']",4
71,71, Pomet Milano,4,1.0,"['Italiana', ' Pizza']",1
72,72, G.B. Bar,4,1.0,"['Italiana', ' Bar']",1
73,73, Tà Bonu! Culurgiones Bar & Gourmet Sardo,4,2,"['Italiana', ' Mediterranea']",2.5
74,74, La TASTeria Gourmet Sicily Milano Brera,4,2,"['Italiana', ' Pesce']",2.5
75,75, Seta,4,1.0,"['Italiana', ' Pesce']",4
76,76, Belé Ristorante,4,3,"['Italiana', ' Mediterranea']",2.5
77,77, Entreé,4,6,"['Italiana', ' Pesce']",2.5
78,78, Ristorante Pizzeria La Ragazza,4,6,"['Pesce', ' Italiana']",2.5
79,79, Savana Ristorante Eritreo,4,1.0,"['Africana', ' Etiope']",2.5
80,80, T4 Bistrot Experience,4,2,"['Italiana', ' Pesce']",2.5
81,81, Pizzium - Isola,4,3,"['Pizza', ' Mediterranea']",2.5
82,82, Ristorante Yazawa Milano,4,2,"['Giapponese', ' Barbecue']",4
83,83, Pizzeria Cinder Mount,4,2,"['Italiana', ' Pizza']",1
84,84, Orianna,4,2,"['Italiana', ' Emiliana']",2.5
85,85, L'Amùri Sicilian Restaurant,4,2,"['Italiana', ' Pesce']",2.5
86,86, LO SPACCIO - Cucina Tradizionale Italiana,4,1,"['Italiana', ' Mediterranea']",2.5
87,87, Ristorante Santo Bevitore,4,3,"['Italiana', ' Mediterranea']",2.5
88,88, CHIOSCO SQUADRE CALCIO,4,4,"['Italiana', ' Bar']",1
89,89, Pasta fresca da Giovanni,4,4,"['Italiana', ' Europea']",1
90,90, Gente di Mare in Darsena,4,4,"['Italiana', ' Mediterranea']",2.5
91,91, shannara5,4,2,"['Pesce', ' Italiana']",2.5
92,92, Sapori Solari - La Bisteccheria,4,2,"['Italiana', ' Steakhouse']",4
93,93, Thai Chokdee restaurant,4,1,"['Tailandese', ' Pesce']",2.5
94,94, Pizza AM,4,4.2,"['Italiana', ' Pizza']",1
95,95, Fei Yun Ge,4,3,"['Cinese', ' Pesce']",2.5
97,97, MooKuzai,4,8,"['Sushi', ' Giapponese']",2.5
98,98, Cous-Cous Restaurant,4,6,"['Italiana', ' Pesce']",2.5
99,99, Soprattutto,4,1,"['Italiana', ' Bar']",2.5
100,100, theLab - unconventional burger experience®,4,5,"['Contemporanea', ' Cibo di strada']",1
101,101, Contraste Ristorante,4,1.1,"['Mediterranea', ' Italiana']",4
103,103, Macelleria Equina Da Vito,4,9,"['Italiana', ' Steakhouse']",1
104,104, Nuovo Yacht,4,7,"['Italiana', ' Mediterranea']",2.5
105,105, Sakeya The House of Sake,4,2,"['Giapponese', ' Pesce']",4
106,106, Un'Altra Pasta,4,4,"['Italiana', ' Pizza']",1
107,107, Pizzium - Stazione Centrale Milano,4,4,"['Pizza', ' Campana']",2.5
108,108, Kowa,4,3,"['Asiatica', ' Fusion']",4
109,109, Seoul Ristorante Coreano,4,3,"['Asiatica', ' Coreana']",2.5
110,110, Ristorante Himalaya,4,1,"['Indiana', ' Nepalese']",2.5
111,111, Monkey in The City,4,2,"['Cubana', ' Internazionale']",2.5
112,112, Cipiace,5,1,"['Italiana', ' Mediterranea']",1
113,113, Chiosco al Politico,4,3,"['Italiana', ' Fast food']",1
114,114, Testone,4,3,"['Mediterranea', ' Barbecue']",1
115,115, ALventicinque,4,2,"['Italiana', ' Mediterranea']",2.5
116,116, Ristorante Acanto,4,4,"['Italiana', ' Pesce']",4
117,117, La cantina del Giannone,4,8,"['Italiana', ' Pesce']",2.5
118,118, Trippa,4,9,"['Italiana', ' Lombarda']",2.5
119,119, Botinero,4,1.9,"['Italiana', ' Steakhouse']",4
120,120, DA NOI IN Via Forcella 6,4,3,"['Italiana', ' Pesce']",4
121,121, Ristorante Delfino,4,1.2,"['Italiana', ' Pesce']",2.5
122,122, San Maurì,4,6,"['Italiana', ' Pesce']",2.5
123,123, Ristorante Omega 3,4,6,"['Italiana', ' Pesce']",2.5
124,124, Nerino Dieci Trattoria,4,4.8,"['Italiana', ' Europea']",2.5
125,125, Sushi Li,4,3,"['Giapponese', ' Pesce']",2.5
126,126, Slice Milano,5,7,"['Italiana', ' Pizza']",2.5
127,127, Olo-olo Ravioleria,4,1,"['Cinese', ' Asiatica']",1
129,129, Icon Cafè Milano,4,5,"['Italiana', ' Bar']",1
130,130, Cantine Milano Ristorante e Wine Bar,4,7,"['Italiana', ' Pesce']",4
131,131, Mastro Tortello,4,1,"['Italiana', ' Italiana (nord)']",2.5
132,132, Pasta d'Autore,4,1.2,"['Italiana', ' Pizza']",1
133,133, Porcobrado Milano,4,1,"['Italiana', ' Toscana']",2.5
135,135, Gong Oriental Attitude,4,1.0,"['Cinese', ' Pesce']",4
136,136, Je suis Jambon,4,3,"['Italiana', ' Bar']",1
137,137, Il Capestrano Ristorante Abruzzese,4,1.2,"['Steakhouse', ' Barbecue']",2.5
138,138, Ristorante La Brioschina,4,1,"['Italiana', ' Mediterranea']",4
139,139, Taverna Greca Rebetiko,4,2,"['Mediterranea', ' Greca']",2.5
140,140, Poku Poke Place,4,2,"['Hawaiana', ' Pesce']",2.5
141,141, Il Principe dei Navigli,4,1.9,"['Italiana', ' Pesce']",2.5
142,142, Trattoria Arlati dal 1936,4,1.3,"['Italiana', ' Mediterranea']",2.5
143,143, Zibo Cuochi Itineranti,4,3,"['Italiana', ' Mediterranea']",2.5
144,144, Balafon,4,3,"['Africana', ' Pesce']",2.5
145,145, Meat Art,4,6,"['Mediterranea', ' Europea']",2.5
146,146, Ristorante Pizzeria One Way della Speranza,4,1.1,"['Italiana', ' Pizza']",2.5
147,147, La rosa dei venti,4,9,"['Italiana', ' Pesce']",2.5
148,148, MU Dimsum,4,6,"['Cinese', ' Pesce']",4
149,149, Ramen Shop,4,2,"['Giapponese', ' Asiatica']",1
150,150, La Mongolfiera,4,5,"['Italiana', ' Pizza']",2.5
151,151, Crocca - Via Fiamma,4,2,"['Italiana', ' Pizza']",2.5
152,152, Gelmetti 1952,5,9,"['Italiana', ' Pesce']",2.5
153,153, Taglieri e Bicchieri,4,4,"['Italiana', ' Mediterranea']",2.5
154,154, Ristorante Berton,4,9,"['Italiana', ' Pesce']",4
155,155, Sadler,4,1.0,"['Italiana', ' Pesce']",4
156,156, Fishion Restaurant,4,2,"['Pesce', ' Italiana']",4
157,157, Achar,4,2,"['Asiatica', ' Nepalese']",2.5
158,158, Bab,4,2,"['Asiatica', ' Zuppe']",2.5
159,159, Bomaki Sempione,4,2.9,"['Giapponese', ' Brasiliana']",2.5
161,161, Amalfitana,4,4,['Italiana'],1
162,162, Nico Ristorante Pizzeria,4,3,"['Italiana', ' Pizza']",2.5
163,163, Movida,4,7,"['Italiana', ' Bar']",2.5
164,164, Ristorante Il Cestino,4,2.1,"['Italiana', ' Pesce']",2.5
165,165, PaninoLAB - Tortona District,4,6,"['Italiana', ' Mediterranea']",2.5
167,167, Canter 1920,4,5,"['Italiana', ' Pesce']",4
168,168, Taac Trattoria,4,1,"['Pesce', ' Mediterranea']",2.5
169,169, La Scalea,4,3,"['Italiana', ' Pizza']",1
170,170, Tigella's,4,1.0,"['Italiana', ' Emiliana']",2.5
171,171, Ristorante Glauco,4,7,"['Italiana', ' Pesce']",4
172,172, Rossini,4,9,"['Italiana', ' Pizza']",2.5
173,173, Shannara 2 Da Danilo,4,1.4,"['Pesce', ' Mediterranea']",2.5
174,174, Visca Bistrot,4,2,"['Italiana', ' Pesce']",2.5
175,175, Neta,4,2,"['Sushi', ' Pesce']",2.5
176,176, Bem Brasil,4,7,"['Barbecue', ' Sudamericana']",2.5
177,177, Sauris & borc da bria,4,4,"['Italiana', ' Italiana (nord)']",2.5
178,178, Portobello,4,9,"['Italiana', ' Pizza']",1
179,179, Ristorante Le Tournedos,4,1.7,"['Italiana', ' Pesce']",2.5
180,180, Trattoria de la Trebia,4,1.4,"['Steakhouse', ' Italiana']",2.5
181,181, Il Gusto di Virdis,4,3,"['Italiana', ' Mediterranea']",2.5
182,182, Angus and More,4,3,"['Fast food', ' Americana']",1
183,183, Lungo la Notte,4,2,"['Italiana', ' Steakhouse']",2.5
184,184, Valentino Legend Milano,4,1.3,"['Lombarda', ' Italiana (nord)']",2.5
185,185, Trattoria la Vecchia Guardia,4,1.1,"['Italiana', ' Salutistica']",2.5
186,186, El barbapedana,4,8,"['Italiana', ' Mediterranea']",2.5
187,187, Stravagario Bistrot,4,3,"['Italiana', ' Pesce']",2.5
188,188," Sciura Maria panzerotti Viale Monza, 256",4,4,"['Italiana', ' Fast food']",1
189,189, Da Salvatore Trattoria Siciliana,4,7,"['Italiana', ' Pesce']",2.5
190,190, Volverè Passion For Grill,4,3,"['Steakhouse', ' Spagnola']",4
191,191, la calanca da Leo,4,1,"['Pesce', ' Italiana']",2.5
193,193, La Coccinella,4,4,"['Italiana', ' Pizza']",1
194,194, Bomaki Foppa,4,1.4,"['Giapponese', ' Brasiliana']",2.5
195,195, La Belle Alliance,4,4,"['Italiana', ' Bar']",1
196,196, Il Luogo di Aimo e Nadia,4,1.1,"['Italiana', ' Contemporanea']",4
197,197, Carmelina - Via Cadore 2,4,6,"['Pizza', ' Pesce']",2.5
199,199, Ambaradan,4,4,"['Pizza', ' Italiana']",2.5
200,200, Gastronomia Yamamoto,4,3,"['Giapponese', ' Gastronomia']",2.5
201,201, Carmelina - Via Revel 5 (ISOLA),4,2,"['Italiana', ' Italiana (sud)']",2.5
202,202, Ristorante Galleria,4,1.8,"['Italiana', ' Pizza']",2.5
203,203, Beirut Ristorante,4,5,"['Libanese', ' Mediterranea']",2.5
204,204, La Rava e la Fava Milano,4,1.7,"['Italiana', ' Pesce']",2.5
205,205, La Dogana del Buongusto,4,7,"['Italiana', ' Mediterranea']",2.5
206,206, Gialle & CO.,4,3,['Italiana'],2.5
207,207, Noblesse Oblige,4,1.1,"['Italiana', ' Pesce']",2.5
208,208, L'Angolo Nascosto,4,5,"['Italiana', ' Pesce']",2.5
209,209, All'Origine,4,5,"['Italiana', ' Pesce']",2.5
210,210, Yang Sushi and Fusion,4,7,"['Giapponese', ' Pesce']",2.5
211,211, Norin Caffe Bistro,4,3,"['Italiana', ' Pizza']",2.5
212,212, De Santis,4,8,['Italiana'],2.5
213,213, Oficina do Sabor,4,6,"['Sudamericana', ' Brasiliana']",2.5
214,214, Ristorante Saporimaestri,4,1,"['Italiana', ' Pesce']",2.5
215,215, ATMosfera,4,3,['Italiana'],4
216,216, Shannara 3,4,7,"['Italiana', ' Mediterranea']",2.5
217,217, Ristorante Alba D'Oro,4,6,"['Italiana', ' Toscana']",2.5
218,218, Kungfu Bao,4,2,"['Cinese', ' Asiatica']",1
219,219, The Brisket Milano,4,8,"['Americana', ' Steakhouse']",2.5
220,220, San Mina,4,4,"['Italiana', ' Pizza']",1
221,221, Mes Amis,4,5,"['Mediterranea', ' Italiana']",2.5
222,222, Oren,4,4,"['Cinese', ' Pesce']",2.5
223,223, Ingalera,4,4,['Italiana'],2.5
225,225, Nishiki,4,1.1,"['Giapponese', ' Pesce']",2.5
226,226, CIZ Cantina e Cucina Milano,4,2,"['Italiana', ' Mediterranea']",2.5
227,227, Trapizzino MIlano,4,3,"['Italiana', ' Cibo di strada']",1
228,228, Pizzeria da Pino,4,7,"['Italiana', ' Pizza']",1
229,229, La Collina d'Oro,4,7,"['Cinese', ' Giapponese']",2.5
231,231, Osteria Al Molo 13,4,1.7,"['Italiana', ' Pesce']",2.5
232,232, Mama Eat Milano,4,7,"['Italiana', ' Pizza']",2.5
233,233, Cruditè Milano,4,2,"['Italiana', ' Pesce']",4
234,234, Yuebinlou,4,2,"['Cinese', ' Pesce']",1
235,235, La Bufalotta,5,7,"['Italiana', ' Turca']",1
236,236, Ristorante Sa Mesa,4,1.1,"['Pesce', ' Mediterranea']",2.5
237,237, Don Juan ristorante argentino,4,1.7,"['Steakhouse', ' Latino americana']",4
238,238, I Sapori Della Pasta,5,8,"['Italiana', ' Mediterranea']",1
239,239, La Posteria di Nonna Papera,4,5,"['Mediterranea', ' Italiana']",2.5
240,240, Ramenamano,4,2,"['Cinese', ' Asiatica']",2.5
241,241, Hosteria Porta Tosa,4,1,"['Italiana', ' Mediterranea']",2.5
242,242, Rita,4,7,"['Italiana', ' Bar']",2.5
243,243, Al Pulentin,4,5,"['Italiana', ' Pesce']",2.5
244,244, Naxos,4,3,"['Italiana', ' Pesce']",2.5
245,245, Gli Orti del Belvedere,4,5,"['Italiana', ' Pesce']",2.5
246,246, Osteria Caneva,4,5,"['Pesce', ' Zuppe']",2.5
247,247, Terrazza Gallia,4,5,"['Italiana', ' Pesce']",4
248,248, Bomaki Porta Romana,4,5,"['Giapponese', ' Sushi']",2.5
249,249, Barmare,4,5,"['Italiana', ' Pesce']",2.5
250,250, Maison Bretonne,4,3,['Francese'],2.5
251,251, Montecristo,4,5,"['Italiana', ' Pesce']",4
252,252, Gallura,4,9,"['Italiana', ' Pesce']",2.5
253,253, L'ALCHIMIA Ristorante & Lounge Bar,4,4,"['Italiana', ' Pesce']",4
254,254, Hana Restaurant,4,1.2,"['Giapponese', ' Pesce']",2.5
255,255, Ristorante Orientale Hong Kong Crossover,4,3,"['Giapponese', ' Cinese']",2.5
257,257, Osteria Del Borgo Antico,4,4,"['Italiana', ' Pesce']",2.5
258,258, Osteria Conchetta,4,1.7,"['Italiana', ' Mediterranea']",2.5
259,259, Hegui Taste of Asia,4,5,"['Cinese', ' Giapponese']",1
260,260, Pasto Laboratorio di Pasta Con Cucina,4,1,"['Italiana', ' Mediterranea']",2.5
261,261, Guyot,4,6,"['Italiana', ' Mediterranea']",2.5
263,263, Trotter,4,1.7,"['Italiana', ' Pizza']",2.5
264,264, Mandarin 2,4,1.0,"['Cinese', ' Pesce']",2.5
265,265, Grigliamania,4,6,"['Italiana', ' Steakhouse']",2.5
266,266, Noi Pesce,4,4,"['Italiana', ' Asiatica']",2.5
267,267, Ristorante Vento di Sardegna,4,8,"['Italiana', ' Pesce']",2.5
268,268, Platina,4,1.4,"['Italiana', ' Mediterranea']",2.5
269,269, Osteria La Cala,4,7,"['Italiana', ' Pesce']",2.5
270,270, Al Paradiso della Pizza,4,5,"['Italiana', ' Pizza']",1
271,271, Ai Giardini Paprika & Cannella,4,4,"['Italiana', ' Pesce']",2.5
272,272, La Fattoria,4,3,"['Italiana', ' Pesce']",2.5
273,273, VIVA Viviana Varese Ristorante,4,1.6,"['Italiana', ' Pesce']",4
274,274, Locanda alla Scala,4,3,"['Italiana', ' Mediterranea']",2.5
275,275, Il Panzerotto,4,7,"['Italiana', ' Fast food']",1
276,276, Johnny Take Ue',4,3,"['Italiana', ' Pizza']",2.5
277,277, Piano- Pida · Anolén,4,1,"['Italiana', ' Emiliana']",2.5
278,278, Armani/Ristorante,4,5,"['Italiana', ' Pesce']",4
279,279, Ristorante Ruris Experience,4,3,"['Italiana', ' Pesce']",2.5
280,280, Kisen Mora,4,5,"['Giapponese', ' Pesce']",2.5
281,281, Ombra,4,1,"['Grill', ' Pesce']",2.5
282,282, Hosteria Stoppani,4,1,"['Italiana', ' Mediterranea']",2.5
283,283, Pepe Nero,4,9,"['Italiana', ' Pizza']",1
284,284, Mamajuana Restaurante,4,4,"['Caraibica', ' Latino americana']",1
285,285, Il Mannarino - De Angeli,4,8,"['Italiana (sud)', ' Steakhouse']",2.5
286,286, Noodle House,4,4,"['Pesce', ' Asiatica']",1
287,287, Ristorante Santa Virginia,4,2,"['Italiana', ' Pesce']",2.5
289,289, San Glicerio Uno,4,5,"['Pesce', ' Mediterranea']",2.5
290,290, Sette Cucina Urbana,4,4,"['Italiana', ' Pesce']",2.5
291,291, Il Secco - bollicine italiane,4,1,"['Italiana', ' Wine Bar']",2.5
292,292, Il Paiolo dal 1973,4,3,"['Italiana', ' Pesce']",2.5
293,293, Il Liberty,4,6,"['Italiana', ' Pesce']",4
295,295, El Gaucho Ristorante Argentino,4,9,"['Steakhouse', ' Latino americana']",4
296,296, Bicerin Milano,4,4,"['Mediterranea', ' Europea']",2.5
297,297, Yuzu,4,5,"['Giapponese', ' Pesce']",4
298,298, DeRos,4,2,"['Italiana', ' Pesce']",4
299,299, Trattoria Sole,4,3,"['Italiana', ' Mediterranea']",2.5
300,300, Ristorante Indiano Just India,4,5,['Indiana'],2.5
301,301, Ristorante Al Porto,4,9,['Pesce'],4
302,302, Ristorante Piazza Repubblica,4,8,"['Italiana', ' Pesce']",4
303,303, Su Garden,4,1.0,"['Cinese', ' Pesce']",2.5
304,304, Prog,4,2,['?'],2.5
305,305, Viva,4,1,"['Italiana', ' Pesce']",1
306,306, Osteria Al Portone,4,6,"['Italiana', ' Mediterranea']",2.5
307,307, Mi Casa Toasteria - Turro,4,1.2,"['Fast food', ' Italiana']",1
308,308, Bertamè Trattoria,4,1.0,"['Italiana', ' Pesce']",2.5
309,309, Uzbek,4,3,"['Russa', ' Uzbeca']",2.5
310,310, Giannasi 1967,4,4,"['Italiana', ' Fast food']",1
311,311, Alhambra Risto Veg,4,9,"['Italiana', ' Salutistica']",1
312,312, Il Mannarino - Tenca,4,4,"['Italiana', ' Steakhouse']",2.5
313,313, Faccio Cose Vedo Gente,4,5,"['Italiana', ' Mediterranea']",2.5
314,314, Lee's Korean Restaurant Nagrin,4,3,"['Asiatica', ' Coreana']",2.5
315,315," Tiraboschi 6 - Chiacchiere, Vino & Cucina",4,1,"['Italiana', ' Pesce']",2.5
316,316, risoelatte,4,1.9,"['Italiana', ' Mediterranea']",2.5
317,317, Henry's Cafe,4,3,"['Italiana', ' Bar']",1
318,318, Locanda Perbellini Bistrot,4,5,"['Italiana', ' Mediterranea']",2.5
319,319, Paper Moon Giardino,4,4,['Italiana'],4
321,321, Ristorante Nabucco,4,2.0,"['Italiana', ' Lombarda']",2.5
322,322, Tano Passami L'olio,4,6,"['Italiana', ' Pesce']",4
323,323, Bianca,4,7,"['Italiana', ' Pesce']",4
324,324, Locanda del Menarost,4,4,"['Italiana', ' Lombarda']",2.5
325,325, Tartufotto,4,1.3,"['Italiana', ' Mediterranea']",4
327,327, Ristorante Ampere 57,4,3,"['Italiana', ' Pesce']",2.5
328,328, Joia,4,2.0,"['Italiana', ' Europea']",4
329,329, Norman,4,1.7,"['Italiana', ' Lombarda']",2.5
330,330, Ai 3 Fratelli,4,2,"['Italiana', ' Pizza']",1
331,331, L'Antro della Sibilla,4,1.0,"['Pesce', ' Italiana']",2.5
332,332, Flower Burger,4,1.3,['Fast food'],1
333,333, Capuano's,4,1.0,"['Italiana', ' Pizza']",2.5
334,334, Passione Pizzeria,4,1,"['Italiana', ' Pizza']",2.5
335,335, Nonna Maria Osteria Romana,4,8,"['Italiana', ' Mediterranea']",2.5
336,336, Osteria Mamma Rosa,4,2.7,"['Italiana', ' Lombarda']",2.5
337,337, Bomaki Sanzio,4,1.3,"['Giapponese', ' Brasiliana']",2.5
338,338, Rubacuori,4,3,"['Italiana', ' Pesce']",4
339,339, SPIB Pizza,4,6,['Pizza'],1
340,340, Luna Rossa,4,7,"['Italiana', ' Pizza']",1
341,341, Route 66 American Diner,4,2,"['Americana', ' Steakhouse']",2.5
342,342, Ba Restaurant,4,1.0,"['Cinese', ' Pesce']",4
343,343, Sumire,4,6,"['Giapponese', ' Pesce']",2.5
344,344, Monzù Bistrot,4,1,"['Italiana', ' Pesce']",2.5
345,345, Mami Cafe,4,4,"['Giapponese', ' Pesce']",2.5
346,346, Langosteria Café,4,6,"['Italiana', ' Pesce']",4
347,347, Corallium Ristorante,4,1,"['Italiana', ' Pesce']",4
348,348, Osteria Fara,4,1.3,"['Italiana', ' Pizza']",2.5
349,349, Ristorante Warsa,4,1.4,"['Salutistica', ' Etiope']",2.5
350,350, Ostriche & Vino,4,6,"['Italiana', ' Francese']",2.5
351,351, IL MIO Pizza & Restaurant,4,2,"['Italiana', ' Argentina']",2.5
353,353, Ristorante al Grissino,4,6,"['Italiana', ' Pesce']",4
354,354, Stendhal Milano,4,1.1,"['Italiana', ' Pesce']",2.5
355,355, Spoon,4,3,"['Giapponese', ' Pesce']",2.5
356,356, Gli Artigiani della Pizza,4,4,"['Italiana', ' Pizza']",1
357,357, Borgia - Milano,5,8,"['Italiana', ' Pesce']",4
359,359, Copacabana Temakeria -Brazilian sushi,4,8,"['Giapponese', ' Brasiliana']",2.5
360,360, Ristorante Aladino,4,7,"['Mediorientale', ' Libanese']",2.5
361,361, Osteria della conca fallata,4,3,"['Italiana', ' Mediterranea']",2.5
362,362, Fra Diavolo Milano,4,2,"['Italiana', ' Pizza']",2.5
363,363, Marecrudo,4,2,"['Pesce', ' Italiana']",4
364,364, N'ata - Espressioni di pizza,4,2,"['Italiana', ' Pizza']",2.5
365,365, Trattoria della Gloria,4,5,"['Italiana', ' Mediterranea']",2.5
366,366, Ristorante Pizzeria Monopoli,4,4,"['Italiana', ' Pizza']",2.5
367,367, Caffe del Lupo,4,2,"['Italiana', ' Mediterranea']",2.5
368,368, Arepa'z ristorante venezuelano,4,6,"['Latino americana', ' Venezuelana']",1
369,369, Langosteria Bistrot,4,9,"['Italiana', ' Pesce']",4
370,370, Le Striatelle,4,8,"['Italiana', ' Mediterranea']",1
371,371, La TrattOsteria de Milan,4,2,"['Italiana', ' Lombarda']",2.5
372,372, Ristorante Don Carlos,4,3,"['Italiana', ' Mediterranea']",4
373,373, Dongiò,4,9,"['Italiana', ' Mediterranea']",2.5
374,374, Pizzeria Loredani,4,1,['Pizza'],2.5
375,375, Osteria della Darsena,4,4,"['Italiana', ' Pesce']",2.5
376,376, Ribot Bistrot,4,8,"['Italiana', ' Pesce']",4
377,377, Omacasé Sushiteca,4,2,"['Giapponese', ' Sushi']",2.5
378,378, La Taverna della Trisa,4,5,"['Pesce', ' Europea']",2.5
379,379, Ristorante Nectare,4,9,"['Mediterranea', ' Italiana']",4
380,380, Il Solferino,4,1.3,"['Italiana', ' Pesce']",4
381,381, Restaurant Andry Gira,4,9,"['Italiana', ' Pesce']",2.5
382,382, Osteria Da Fortunata - Milano,4,5,"['Italiana', ' Romana']",2.5
383,383, Locatelli Milano,4,3,"['Italiana', ' Pesce']",2.5
385,385, La Taverna Gourmet,4,5,"['Italiana', ' Pizza']",4
386,386, Osteria del Gnocco Fritto,4,1.9,"['Italiana', ' Emiliana']",2.5
387,387, Arrow's,4,4,"['Italiana', ' Pesce']",2.5
388,388, Ristorante Settembrini 18,4,8,"['Italiana', ' Pizza']",2.5
389,389, Pane al Pane Vino al Vino,4,6,"['Italiana', ' Mediterranea']",2.5
391,391, El Porteño Arena,4,1.5,"['Steakhouse', ' Latino americana']",4
